customer_id,name,age,category,region,sale_amount,amount_inr,age_group
4,Diana,42,Furniture,West,3200.75,267262.63,Middle-Aged
2,Bob,35,Clothing,South,800.0,66800.0,Adult
10,Jack,31,Electronics,North,2100.0,175350.0,Adult
1,Alice,29,Electronics,North,1500.5,125291.75,Adult
3,Charlie,17,Electronics,East,200.0,16700.0,Youth
9,Ivy,23,Clothing,West,320.0,26720.0,Youth
18,Rose,41,Electronics,North,1750.0,146125.0,Middle-Aged
14,Nate,62,Furniture,North,2800.0,233800.0,Senior
13,Mona,38,Clothing,West,670.0,55945.0,Adult
16,Paul,34,Clothing,South,530.0,44255.0,Adult
11,Karen,45,Furniture,East,4500.0,375750.0,Middle-Aged
20,Tina,50,Furniture,South,3800.0,317300.0,Middle-Aged
12,Leo,19,Electronics,South,950.0,79325.0,Youth
19,Sam,26,Clothing,East,410.0,34235.0,Adult
15,Olivia,27,Electronics,East,1350.0,112725.0,Adult
6,Frank,28,Unknown,South,600.0,50100.0,Adult
8,Hank,55,Furniture,Unknown,1800.0,150300.0,Middle-Aged
5,Eve,33,Clothing,North,450.0,37575.0,Adult
17,Quinn,33,Furniture,West,2200.0,183700.0,Adult
